Cal_medium,Resistance,Voltage,Ref_temp
Ice_bath,25580.27,0.389,2.6
Ice_bath,25533.35,0.392,2.6
Ice_bath,25654.91,0.392,2.6
Ice_bath,25716.77,0.39,2.6
Ice_bath,25477.94,0.39,2.6
Ice_bath,25495.17,0.393,2.6
Ice_bath,25545.68,0.391,2.6
Ice_bath,25543.22,0.392,2.6
Ice_bath,25535.82,0.391,2.6
Ice_bath,25603.77,0.393,2.6
Ambient_bath,14275.76,0.7,16.2
Ambient_bath,14254.48,0.698,16.2
Ambient_bath,14313.8,0.7,16.2
Ambient_bath,14285.54,0.7,16.2
Ambient_bath,14309.76,0.699,16.2
Ambient_bath,14305.72,0.698,16.2
Ambient_bath,14302.26,0.698,16.2
Ambient_bath,14311.49,0.7,16.2
Ambient_bath,14287.27,0.701,16.2
Ambient_bath,14320.15,0.698,16.2
Warmed_bath,5956.12,1.678,40
Warmed_bath,5922.87,1.686,39.6
Warmed_bath,5922.13,1.687,39.6
Warmed_bath,5980.52,1.665,39.5
Warmed_bath,6025.79,1.67,40.7
Warmed_bath,5935.76,1.678,39.9
Warmed_bath,5946.93,1.685,39.7
Warmed_bath,5937.25,1.673,39.6
Warmed_bath,5967.32,1.676,39.6
Warmed_bath,5962.34,1.673,39.6
